
AIRLINE_ID,Description,Sum(PASSENGERS)
"21694","Silk Way West Airlines: 7L",0
"21712","Elite Airways LLC: 2HQ",22416
"21718","Delux Public Charter LLC: 2JQ",339558
"21735","Longtail Aviation Ltd.: 2KQ",0
"21738","Air Serbia: JU",61702
"21743","Tropic Ocean Airways LLC: 2LQ",14913
"21749","Talofa Airways Limited: 2OQ",1003
"21770","Xiamen Airlines Co., Ltd.: MF",32260
"21814","Svenskt Industriflyg AB: 2UQ",50
"21820","Paklook Air, Inc d/b/a/ Airlift Alaska d/b/a/ Yute Commuter Service: K2",30330
"21835","Public Charters, Inc. d/b/a North Country Sky d/b/a Regional Sky d/b/a Texas Sky: 30Q",60
"21854","Polaris Aviation Solutions, LLC: 34Q",1
"21869","Air Hamburg Luftverkehrsgesellschaft mbH: 36Q",325
"21879","Key Lime Air Corporation: 38Q",71887
"21889","Evelop Airlines SL: E9",1417
"21894","ADVANCED AIR, LLC: AN",33623
"21909","Maritime Helicopters, Inc.: 3AQ",4698
"21944","Nealco Air Charter Services, Inc.  d/b/a  Watermakers Air: 3BQ",17026
"21949","Kenya Airways PLC: KQ",31758
"21974","Scott Aviation, LLC  d/b/a  Silver Air: 3EQ",10071
"21979","Western Air Charter, Inc.  d/b/a  Jet Edge: 3FQ",37421
"22001","Vuela Aviacion, S.A.: Q6",69037
"22010","FAI rent-a-jet AG: IFQ",258
"22016","TAG Aviation (Malta) Ltd.: TEQ",31
"22020","Gestair, S.A.: GEQ",11
"22025","Skyfirst Limited: KFQ",10
"22030","French bee: BF",51429
"22035","Sparfell Luftfahrt GmbH: LDQ",54
"22036","Challenge Airlines (BE) S.A.: X7",0
"22048","Concierge U Ltd. d/b/a Jet Concierge Club: JCO",227
"22052","Elitavia Malta Limited: EAU",31
"22061","Volkswagen AirSevice GmbH dba Volkswagon: WGT",157
"22062","Hyperion Aviation Ltd. dba Hyperion: HYP",15
"22067","SWOOP Inc.: WO",20819
"22069","ZIPAIR Tokyo Inc.: ZG",2549
"22072","WAMOS AIR SA: EB",399
"22073","MHS Aviation GmbH: M2",11
"22074","Avon Jet AG: AOQ",322
"22075","Junipogo, LLC: 3KQ",61
"22076","Silk Way Airlines, LLC: ZPQ",0
"22077","Hamilton Jetport Limited: HAQ",602
"22078","Air Senegal S.A: HC",12500
"22079","Neos S.P.A: NOS",2470
"22080","Breeze Aviation Group DBA  Breeze: MX",320138
"22083","Baranautica Air Service LLC: BAS",181
"22085","Global Crossing Airlines, Inc.: GCA",40072
"22087","AVCON JET MALTA LTD: NIQ",48
"22090","EUROWINGS DISCOVER GmbH: 4Y",3071
"All Rows","All Rows (including those not displayed)",703464518
